Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR
Hernia repair,4,21,21,High
Knee arthroscopy,10,8,49,High
Prostatectomy,3,11,43,High
Hysterectomy,6,30,8,High
Hysterectomy,7,11,40,High
Hysterectomy,10,14,17,Mid
Prostatectomy,10,1,49,High
Hip replacement,0,17,28,Mid
Cataract surgery,4,12,38,High
Hernia repair,2,13,26,Mid
Prostatectomy,0,4,35,High
Knee arthroscopy,2,25,44,High
Cataract surgery,5,9,16,Low
Knee arthroscopy,6,11,33,High
Cataract surgery,7,9,45,High
Hip replacement,10,23,2,High
Cesarean section,3,10,4,Mid
Knee arthroscopy,2,30,13,High
Prostatectomy,4,24,2,High
Cataract surgery,8,1,22,Mid
Hysterectomy,5,4,38,High
Coronary artery bypass graft (CABG),8,29,29,High
Hysterectomy,5,6,49,High
Appendectomy,1,30,44,High
Cesarean section,4,5,22,Mid
Cesarean section,10,21,26,High
Hysterectomy,8,22,9,High
Hernia repair,7,2,24,Mid
Hip replacement,6,12,12,Mid
Knee arthroscopy,0,2,15,Low
Prostatectomy,3,25,40,High
Cesarean section,6,24,33,High
Hysterectomy,10,29,36,High
Hysterectomy,6,23,21,High
Hip replacement,5,20,16,High
Hip replacement,7,5,22,Mid
Cholecystectomy,10,10,35,High
Cholecystectomy,5,27,48,High
Hernia repair,9,25,8,High
Hernia repair,2,16,1,Mid
Appendectomy,3,9,31,High
Hernia repair,2,11,49,High
Cataract surgery,0,16,21,Mid
Hip replacement,9,3,42,High
Prostatectomy,4,1,12,Low
Cataract surgery,0,10,7,Mid
Knee arthroscopy,0,6,0,Low
Hysterectomy,1,1,16,Low
Hernia repair,3,25,11,High
Hysterectomy,5,17,3,Mid
Cesarean section,7,20,12,High
Appendectomy,2,3,30,High
Cesarean section,0,7,40,High
Appendectomy,2,19,6,Mid
Cholecystectomy,2,13,22,Mid
Hysterectomy,4,11,23,Mid
Appendectomy,10,21,4,High
Coronary artery bypass graft (CABG),3,20,4,High
Cataract surgery,3,26,16,High
Appendectomy,8,29,29,High
Appendectomy,6,17,8,Mid
Cataract surgery,3,10,5,Mid
Hysterectomy,2,30,24,High
Hysterectomy,5,28,18,High
Cataract surgery,2,27,15,High
Cesarean section,5,29,20,High
Coronary artery bypass graft (CABG),10,7,1,Low
Prostatectomy,10,1,9,Low
Knee arthroscopy,8,24,15,High
Coronary artery bypass graft (CABG),5,14,36,High
Hysterectomy,3,8,14,Low
Prostatectomy,4,18,12,Mid
Cholecystectomy,5,19,12,Mid
Hernia repair,10,7,31,High
Appendectomy,2,24,44,High
Cataract surgery,7,18,46,High
Cataract surgery,3,4,45,High
Appendectomy,7,10,7,Mid
Hernia repair,9,14,42,High
Knee arthroscopy,9,7,17,Low
Hernia repair,2,18,35,High
Prostatectomy,9,22,25,High
Hernia repair,6,26,9,High
Prostatectomy,10,7,30,High
Hernia repair,8,25,32,High
Knee arthroscopy,3,26,28,High
Knee arthroscopy,7,29,4,High
Hysterectomy,2,18,12,Mid
Appendectomy,6,17,0,Mid
Knee arthroscopy,2,9,22,Mid
Prostatectomy,6,28,39,High
Knee arthroscopy,10,6,2,Low
Hysterectomy,9,27,2,High
Cataract surgery,9,8,6,Low
Prostatectomy,10,0,35,High
Hysterectomy,10,18,34,High
Cesarean section,5,4,14,Low
Cesarean section,1,18,39,High
Cholecystectomy,10,0,2,Low
Hernia repair,2,14,28,Mid
Appendectomy,5,15,29,Mid
Hip replacement,3,22,38,High
Coronary artery bypass graft (CABG),5,6,17,Low
Hysterectomy,0,25,10,High
Cataract surgery,9,11,42,High
Coronary artery bypass graft (CABG),0,7,48,High
Cataract surgery,2,4,37,High
Coronary artery bypass graft (CABG),7,9,39,High
Hysterectomy,7,27,0,High
Hip replacement,10,20,28,High
Coronary artery bypass graft (CABG),3,4,9,Low
Hysterectomy,5,16,27,Mid
Knee arthroscopy,7,25,30,High
Hip replacement,6,4,18,Low
Prostatectomy,10,21,2,High
Cataract surgery,6,14,35,High
Cesarean section,3,12,42,High
Hernia repair,8,27,14,High
Cesarean section,9,0,32,High
Hip replacement,5,10,40,High
Prostatectomy,10,22,42,High
Cataract surgery,2,0,50,High
Prostatectomy,4,10,44,High
Coronary artery bypass graft (CABG),4,17,25,Mid
Cataract surgery,4,17,15,Mid
Coronary artery bypass graft (CABG),7,20,35,High
Hysterectomy,8,29,32,High
Hip replacement,8,25,19,High
Hysterectomy,5,15,12,Mid
Cholecystectomy,5,12,32,High
Prostatectomy,8,6,4,Low
Coronary artery bypass graft (CABG),3,0,36,High
Knee arthroscopy,5,25,13,High
Hysterectomy,3,15,26,Mid
Cholecystectomy,10,0,22,Mid
Appendectomy,0,16,13,Mid
Cesarean section,6,5,39,High
Cataract surgery,9,1,3,Low
Cholecystectomy,10,16,38,High
Hip replacement,5,5,18,Low
Hysterectomy,8,13,46,High
Hip replacement,6,17,3,Mid
Cesarean section,6,5,29,Mid
Knee arthroscopy,1,9,18,Low
Prostatectomy,10,23,30,High
Prostatectomy,8,17,30,High
Hip replacement,9,26,8,High
Coronary artery bypass graft (CABG),8,8,12,Low
Knee arthroscopy,5,7,13,Low
Prostatectomy,2,27,45,High
Knee arthroscopy,0,9,9,Low
Cholecystectomy,3,16,47,High
Knee arthroscopy,2,22,30,High
Hernia repair,0,29,36,High
Cesarean section,2,28,22,High
Prostatectomy,3,25,26,High
Knee arthroscopy,7,5,5,Low
Hip replacement,8,13,25,Mid
Appendectomy,2,21,1,High
Hernia repair,5,21,44,High
Hernia repair,9,5,12,Low
Coronary artery bypass graft (CABG),10,25,50,High
Knee arthroscopy,4,6,49,High
Coronary artery bypass graft (CABG),5,11,18,Mid
Coronary artery bypass graft (CABG),3,2,0,Low
Appendectomy,9,13,39,High
Cholecystectomy,5,21,31,High
Knee arthroscopy,6,18,21,Mid
Hysterectomy,8,22,47,High
Prostatectomy,9,15,28,Mid
Coronary artery bypass graft (CABG),6,6,1,Low
Cesarean section,5,7,39,High
Cataract surgery,0,17,37,High
Cesarean section,1,24,47,High
Appendectomy,0,12,10,Mid
Appendectomy,8,20,16,High
Hip replacement,9,8,50,High
Cholecystectomy,9,9,42,High
Prostatectomy,8,20,7,High
Coronary artery bypass graft (CABG),6,22,21,High
Cesarean section,1,26,3,High
Cataract surgery,5,8,10,Low
Appendectomy,10,14,7,Mid
Appendectomy,3,19,8,Mid
Cholecystectomy,0,1,25,Mid
Cataract surgery,0,24,1,High
Cataract surgery,4,12,15,Mid
Cholecystectomy,1,1,30,High
Appendectomy,3,18,5,Mid
Prostatectomy,0,25,20,High
Knee arthroscopy,3,1,25,Mid
Knee arthroscopy,10,2,18,Low
Cholecystectomy,5,5,27,Mid
Cataract surgery,9,2,7,Low
Coronary artery bypass graft (CABG),3,30,13,High
Cholecystectomy,0,9,23,Mid
Prostatectomy,6,23,47,High
Cholecystectomy,1,26,43,High
Hernia repair,8,5,36,High
Cesarean section,2,22,25,High
Cataract surgery,7,15,30,High
Hip replacement,7,16,50,High
Hip replacement,2,18,31,High
Cataract surgery,3,2,49,High
Prostatectomy,1,17,40,High
Hernia repair,3,6,1,Low
Hernia repair,10,8,24,Mid
Appendectomy,10,19,43,High
Cesarean section,10,11,1,Mid
Knee arthroscopy,8,4,41,High
Hysterectomy,1,2,0,Low
Prostatectomy,2,10,35,High
Hysterectomy,10,24,11,High
Hysterectomy,10,29,8,High
Cataract surgery,3,3,35,High
Hip replacement,4,4,40,High
Hip replacement,0,0,27,Mid
Knee arthroscopy,6,26,37,High
Cataract surgery,9,27,32,High
Hysterectomy,6,30,41,High
Coronary artery bypass graft (CABG),8,28,45,High
Hip replacement,3,17,21,Mid
Prostatectomy,5,11,24,Mid
Prostatectomy,10,12,17,Mid
Appendectomy,1,8,5,Low
Cholecystectomy,3,1,17,Low
Coronary artery bypass graft (CABG),1,4,15,Low
Hip replacement,9,12,14,Mid
Hernia repair,4,15,47,High
Hip replacement,6,15,7,Mid
Appendectomy,0,23,12,High
Prostatectomy,9,2,42,High
Hysterectomy,9,21,6,High
Hernia repair,6,3,16,Low
Cataract surgery,9,10,49,High
Cesarean section,5,22,31,High
Hysterectomy,5,25,21,High
Cesarean section,7,13,50,High
Coronary artery bypass graft (CABG),7,28,12,High
Cholecystectomy,5,2,46,High
Hernia repair,2,15,22,Mid
Knee arthroscopy,4,21,28,High
Hernia repair,1,14,21,Mid
Hip replacement,4,27,0,High
Prostatectomy,8,30,28,High
Hip replacement,9,9,47,High
Hip replacement,0,8,4,Low
Coronary artery bypass graft (CABG),9,10,34,High
Hysterectomy,4,15,9,Mid
Knee arthroscopy,5,9,18,Low
Knee arthroscopy,10,16,36,High
Hip replacement,6,18,6,Mid
Cesarean section,8,1,45,High
Coronary artery bypass graft (CABG),5,23,34,High
Hip replacement,4,22,44,High
Cholecystectomy,6,1,12,Low
Prostatectomy,0,5,9,Low
Hysterectomy,10,30,1,High
Cataract surgery,4,18,5,Mid
Cholecystectomy,1,7,7,Low
Cesarean section,3,25,35,High
Hernia repair,6,28,24,High
Hernia repair,4,2,43,High
Cholecystectomy,5,25,46,High
Hip replacement,1,13,39,High
Cataract surgery,2,24,6,High
Appendectomy,6,15,45,High
Appendectomy,10,0,22,Mid
Cesarean section,1,20,18,High
Hip replacement,5,2,45,High
Knee arthroscopy,4,21,21,High
Knee arthroscopy,9,25,12,High
Hysterectomy,0,17,20,Mid
Cataract surgery,10,8,0,Low
Cataract surgery,9,5,18,Low
Hernia repair,10,22,32,High
Coronary artery bypass graft (CABG),3,20,3,High
Cesarean section,10,24,41,High
Appendectomy,1,0,2,Low
Cesarean section,3,20,26,High
Knee arthroscopy,0,26,40,High
Knee arthroscopy,1,9,34,High
Cholecystectomy,7,26,27,High
Hysterectomy,5,5,5,Low
Cataract surgery,1,22,5,High
Prostatectomy,5,11,43,High
Cesarean section,9,3,22,Mid
Knee arthroscopy,8,27,32,High
Coronary artery bypass graft (CABG),6,12,15,Mid
Hernia repair,8,16,23,Mid
Appendectomy,4,30,4,High
Hysterectomy,6,26,40,High
Coronary artery bypass graft (CABG),10,7,41,High
Hysterectomy,6,25,12,High
Cholecystectomy,2,19,46,High
Prostatectomy,6,2,11,Low
Knee arthroscopy,0,11,4,Mid
Hernia repair,8,6,36,High
Coronary artery bypass graft (CABG),9,11,30,High
Hysterectomy,5,1,27,Mid
Cataract surgery,4,23,27,High
Cholecystectomy,6,13,29,Mid
Cataract surgery,4,21,17,High
Hernia repair,9,22,43,High
Coronary artery bypass graft (CABG),4,29,26,High
Cholecystectomy,10,4,34,High
Coronary artery bypass graft (CABG),9,8,25,Mid
Knee arthroscopy,10,20,38,High
Hip replacement,6,10,48,High
Cholecystectomy,9,4,50,High
Cataract surgery,6,2,17,Low
Hernia repair,10,26,32,High
Prostatectomy,2,16,24,Mid
Knee arthroscopy,2,1,30,High
Hip replacement,9,23,36,High
Prostatectomy,2,30,1,High
Appendectomy,5,0,32,High
Knee arthroscopy,5,6,38,High
Hernia repair,2,29,42,High
Hysterectomy,2,13,42,High
Cholecystectomy,7,4,31,High
Coronary artery bypass graft (CABG),7,18,17,Mid
Hernia repair,6,27,16,High
Cholecystectomy,9,27,33,High
Prostatectomy,3,30,38,High
Coronary artery bypass graft (CABG),3,10,6,Mid
Cesarean section,2,22,41,High
Cataract surgery,4,24,34,High
Appendectomy,2,1,29,Mid
Knee arthroscopy,7,7,11,Low
Hernia repair,6,8,34,High
Appendectomy,2,26,10,High
Hysterectomy,8,2,43,High
Cholecystectomy,4,1,3,Low
Cholecystectomy,8,6,24,Mid
Hernia repair,6,4,47,High
Hip replacement,6,20,31,High
Hip replacement,5,25,19,High
Cesarean section,1,4,49,High
Cataract surgery,8,19,30,High
Coronary artery bypass graft (CABG),5,12,3,Mid
Hysterectomy,7,20,37,High
Appendectomy,0,28,46,High
Hip replacement,4,19,0,Mid
Cesarean section,0,30,2,High
Cesarean section,9,28,36,High
Hernia repair,10,5,21,Mid
Hysterectomy,7,19,16,Mid
Prostatectomy,7,17,13,Mid
Coronary artery bypass graft (CABG),0,24,40,High
Cataract surgery,8,1,34,High
Knee arthroscopy,1,24,12,High
Hernia repair,8,25,34,High
Coronary artery bypass graft (CABG),0,5,42,High
Knee arthroscopy,9,8,1,Low
Knee arthroscopy,8,24,46,High
Hysterectomy,3,2,12,Low
Hysterectomy,8,0,50,High
Appendectomy,6,0,15,Low
Cesarean section,10,18,17,Mid
Coronary artery bypass graft (CABG),5,4,6,Low
Hernia repair,4,12,44,High
Cholecystectomy,10,18,35,High
Hernia repair,8,11,40,High
Appendectomy,1,15,29,Mid
Cataract surgery,10,24,41,High
Cesarean section,1,24,40,High
Cholecystectomy,10,18,6,Mid
Hip replacement,8,2,14,Low
Cataract surgery,2,11,39,High
Hysterectomy,7,29,18,High
Knee arthroscopy,10,4,42,High
Hip replacement,8,1,36,High
Hernia repair,7,21,1,High
Hernia repair,3,6,41,High
Hysterectomy,0,12,47,High
Appendectomy,3,24,12,High
Coronary artery bypass graft (CABG),8,14,39,High
Hip replacement,1,21,40,High
Hip replacement,2,2,42,High
Prostatectomy,9,27,42,High
Cataract surgery,7,20,30,High
Cesarean section,5,19,15,Mid
Cataract surgery,7,30,41,High
Coronary artery bypass graft (CABG),6,4,43,High
Hernia repair,4,23,5,High
Hernia repair,8,7,27,Mid
Hernia repair,3,21,31,High
Prostatectomy,5,0,43,High
Hernia repair,1,7,9,Low
Coronary artery bypass graft (CABG),1,23,49,High
Hysterectomy,1,17,17,Mid
Cesarean section,9,19,3,Mid
Coronary artery bypass graft (CABG),6,27,8,High
Cesarean section,1,15,6,Mid
Coronary artery bypass graft (CABG),1,17,49,High
Hernia repair,8,19,7,Mid
Hysterectomy,6,11,42,High
Hip replacement,10,12,6,Mid
Cataract surgery,2,12,40,High
Knee arthroscopy,2,9,39,High
Hysterectomy,6,6,2,Low
Hip replacement,4,24,16,High
Appendectomy,9,13,1,Mid
Coronary artery bypass graft (CABG),5,29,14,High
Appendectomy,7,23,45,High
Hip replacement,8,15,28,Mid
Hysterectomy,0,14,49,High
Coronary artery bypass graft (CABG),2,11,47,High
Knee arthroscopy,10,8,21,Mid
Hernia repair,6,7,3,Low
Coronary artery bypass graft (CABG),5,17,5,Mid
Coronary artery bypass graft (CABG),6,22,37,High
Hysterectomy,7,17,25,Mid
Hysterectomy,5,12,10,Mid
Hip replacement,2,27,25,High
Cholecystectomy,1,26,16,High
Coronary artery bypass graft (CABG),6,17,23,Mid
Cataract surgery,10,14,27,Mid
Coronary artery bypass graft (CABG),0,3,34,High
Hip replacement,2,16,30,High
Cesarean section,10,30,12,High
Appendectomy,3,4,34,High
Hernia repair,0,21,15,High
Cholecystectomy,4,15,14,Mid
Knee arthroscopy,9,8,42,High
Knee arthroscopy,2,9,17,Low
Knee arthroscopy,1,23,46,High
Hysterectomy,2,17,36,High
Knee arthroscopy,7,16,47,High
Hernia repair,5,17,47,High
Appendectomy,6,6,48,High
Knee arthroscopy,5,3,40,High
Coronary artery bypass graft (CABG),5,25,26,High
Coronary artery bypass graft (CABG),2,4,34,High
Hysterectomy,7,27,44,High
Hernia repair,6,22,34,High
Appendectomy,6,15,27,Mid
Cholecystectomy,5,2,38,High
Hip replacement,4,25,37,High
Appendectomy,9,17,8,Mid
Hip replacement,7,28,11,High
Cesarean section,4,22,14,High
Hip replacement,8,20,20,High
Cataract surgery,8,13,34,High
Coronary artery bypass graft (CABG),0,14,41,High
Hernia repair,5,16,32,High
Prostatectomy,6,0,50,High
Hysterectomy,2,24,18,High
Cataract surgery,6,20,22,High
Hip replacement,10,16,12,Mid
Knee arthroscopy,10,22,43,High
Hernia repair,6,24,0,High
Cataract surgery,10,10,50,High
Hysterectomy,1,16,28,Mid
Coronary artery bypass graft (CABG),6,25,23,High
Hernia repair,0,13,15,Mid
Hysterectomy,4,28,24,High
Cesarean section,8,19,22,Mid
Cesarean section,6,29,27,High
Hysterectomy,6,18,46,High
Cataract surgery,10,20,15,High
Hernia repair,1,6,42,High
Cataract surgery,7,23,37,High
Cholecystectomy,2,12,10,Mid
Hip replacement,7,17,2,Mid
Cholecystectomy,2,22,14,High
Cesarean section,9,29,0,High
Coronary artery bypass graft (CABG),6,13,6,Mid
Appendectomy,1,0,0,Low
Hip replacement,3,6,48,High
Cesarean section,10,7,31,High
Cataract surgery,5,17,8,Mid
Cataract surgery,10,8,28,Mid
Cataract surgery,8,0,25,Mid
Coronary artery bypass graft (CABG),4,28,22,High
Cholecystectomy,8,21,44,High
Appendectomy,4,16,42,High
Cataract surgery,9,18,28,Mid
Prostatectomy,7,26,37,High
Hip replacement,0,5,32,High
Hernia repair,6,2,6,Low
Prostatectomy,3,23,11,High
Appendectomy,4,4,30,High
Coronary artery bypass graft (CABG),5,1,31,High
Appendectomy,4,19,19,Mid
Hernia repair,0,24,50,High
Hip replacement,8,3,16,Low
Hernia repair,1,9,35,High
Hysterectomy,8,9,2,Low
Hip replacement,9,23,0,High
Appendectomy,1,20,49,High
Cataract surgery,8,10,26,Mid
Appendectomy,5,26,46,High
Appendectomy,10,15,39,High
Hip replacement,8,25,32,High
Hysterectomy,5,28,19,High
Appendectomy,5,28,13,High
Prostatectomy,10,29,35,High
Cesarean section,1,30,4,High
Knee arthroscopy,7,16,22,Mid
Knee arthroscopy,2,15,44,High
Appendectomy,6,6,14,Low
Prostatectomy,4,15,5,Mid
Cataract surgery,2,2,32,High
Coronary artery bypass graft (CABG),0,25,18,High
Coronary artery bypass graft (CABG),7,15,12,Mid
Hip replacement,2,7,28,Mid
Knee arthroscopy,1,29,5,High
Appendectomy,0,11,14,Mid
Coronary artery bypass graft (CABG),3,2,15,Low
Appendectomy,7,16,23,Mid
Hip replacement,2,20,22,High
Knee arthroscopy,0,17,47,High
Hernia repair,3,10,9,Mid
Cesarean section,8,3,40,High
Cesarean section,0,15,40,High
Coronary artery bypass graft (CABG),10,16,48,High
Cesarean section,1,8,16,Low
Hernia repair,8,5,48,High
Appendectomy,1,23,43,High
Hip replacement,2,26,44,High
Hernia repair,6,19,29,Mid
Hip replacement,2,24,43,High
Hip replacement,8,1,45,High
Knee arthroscopy,5,8,9,Low
Appendectomy,2,27,18,High
Prostatectomy,8,20,28,High
Cesarean section,0,28,1,High
Prostatectomy,9,5,35,High
Knee arthroscopy,2,2,18,Low
Hip replacement,0,19,6,Mid
Coronary artery bypass graft (CABG),1,5,25,Mid
Cesarean section,7,6,14,Low
Cesarean section,6,0,46,High
Appendectomy,1,22,37,High
Hysterectomy,1,0,2,Low
Cholecystectomy,8,4,37,High
Cholecystectomy,5,5,15,Low
Cholecystectomy,4,12,1,Mid
Hysterectomy,9,1,30,High
Appendectomy,5,14,27,Mid
Hysterectomy,8,14,6,Mid
Cholecystectomy,10,12,29,Mid
Knee arthroscopy,6,25,42,High
Hernia repair,9,24,6,High
Hip replacement,9,13,35,High
Hysterectomy,8,25,28,High
Appendectomy,3,21,23,High
Appendectomy,1,6,38,High
Prostatectomy,7,13,3,Mid
Hernia repair,3,30,28,High
Coronary artery bypass graft (CABG),8,25,43,High
Cesarean section,3,30,4,High
Cholecystectomy,7,23,28,High
Coronary artery bypass graft (CABG),8,26,29,High
Prostatectomy,8,30,28,High
Cholecystectomy,9,28,25,High
Hernia repair,3,9,18,Low
Prostatectomy,0,16,25,Mid
Cholecystectomy,2,13,36,High
Hernia repair,8,7,26,Mid
Cataract surgery,3,3,29,Mid
Coronary artery bypass graft (CABG),4,25,50,High
Coronary artery bypass graft (CABG),6,15,29,Mid
Cesarean section,4,23,2,High
Hernia repair,3,12,42,High
Hysterectomy,1,30,6,High
Cataract surgery,1,21,48,High
Knee arthroscopy,3,26,8,High
Cholecystectomy,9,24,40,High
Cataract surgery,9,26,41,High
Hernia repair,8,19,12,Mid
Hip replacement,7,17,14,Mid
Cholecystectomy,2,13,4,Mid
Appendectomy,8,17,28,Mid
Coronary artery bypass graft (CABG),4,4,34,High
Hernia repair,10,25,26,High
Appendectomy,2,8,26,Mid
Cesarean section,4,27,7,High
Prostatectomy,9,2,31,High
Knee arthroscopy,3,7,19,Low
Knee arthroscopy,7,19,9,Mid
Appendectomy,4,21,12,High
Coronary artery bypass graft (CABG),9,9,28,Mid
Cesarean section,7,21,34,High
